Entity,Code,Date,Total confirmed cases of COVID-19 (cases)
Afghanistan,AFG,31-12-2019,0
Afghanistan,AFG,01-01-2020,0
Afghanistan,AFG,02-01-2020,0
Afghanistan,AFG,03-01-2020,0
Afghanistan,AFG,04-01-2020,0
Afghanistan,AFG,05-01-2020,0
Afghanistan,AFG,06-01-2020,0
Afghanistan,AFG,07-01-2020,0
Afghanistan,AFG,08-01-2020,0
Afghanistan,AFG,09-01-2020,0
Afghanistan,AFG,10-01-2020,0
Afghanistan,AFG,11-01-2020,0
Afghanistan,AFG,12-01-2020,0
Afghanistan,AFG,13-01-2020,0
Afghanistan,AFG,14-01-2020,0
Afghanistan,AFG,15-01-2020,0
Afghanistan,AFG,16-01-2020,0
Afghanistan,AFG,17-01-2020,0
Afghanistan,AFG,18-01-2020,0
Afghanistan,AFG,19-01-2020,0
Afghanistan,AFG,20-01-2020,0
Afghanistan,AFG,21-01-2020,0
Afghanistan,AFG,22-01-2020,0
Afghanistan,AFG,23-01-2020,0
Afghanistan,AFG,24-01-2020,0
Afghanistan,AFG,25-01-2020,0
Afghanistan,AFG,26-01-2020,0
Afghanistan,AFG,27-01-2020,0
Afghanistan,AFG,28-01-2020,0
Afghanistan,AFG,29-01-2020,0
Afghanistan,AFG,30-01-2020,0
Afghanistan,AFG,31-01-2020,0
Afghanistan,AFG,01-02-2020,0
Afghanistan,AFG,02-02-2020,0
Afghanistan,AFG,03-02-2020,0
Afghanistan,AFG,04-02-2020,0
Afghanistan,AFG,05-02-2020,0
Afghanistan,AFG,06-02-2020,0
Afghanistan,AFG,07-02-2020,0
Afghanistan,AFG,08-02-2020,0
Afghanistan,AFG,09-02-2020,0
Afghanistan,AFG,10-02-2020,0
Afghanistan,AFG,11-02-2020,0
Afghanistan,AFG,12-02-2020,0
Afghanistan,AFG,13-02-2020,0
Afghanistan,AFG,14-02-2020,0
Afghanistan,AFG,15-02-2020,0
Afghanistan,AFG,16-02-2020,0
Afghanistan,AFG,17-02-2020,0
Afghanistan,AFG,18-02-2020,0
Afghanistan,AFG,19-02-2020,0
Afghanistan,AFG,20-02-2020,0
Afghanistan,AFG,21-02-2020,0
